experiment_id	timestamp	program	description	result	coverage_before	coverage_after	notes
exp-001	2026-05-06T17:24:23Z	test-coverage	memory-cache.test.ts: get/set/TTL/eviction/invalidation (10 tests)	kept	4.71	5.83	+1.12% statements
76	2026-05-07T01:13:23	billing-client: no-download-URLs + fetchPremiumRequestReport	KEEP	83.32	+0.10
77	2026-05-07T01:16:13	metrics-repo: PR merge + weightedMedian + empty orgSlugs	KEEP	83.65	+0.33
78	2026-05-07T01:21:25	api-base: adaptiveRateDelay 200ms delay test	KEEP	83.72	+0.07
79	2026-05-07T01:23:24	sync-service: org-only mode user fetch + error	KEEP	84.16	+0.44
80	2026-05-07T01:26:32	ghas-sync: autofix success/rejected enrichment	KEEP	84.30	+0.14
81	2026-05-07T01:29:37	billing-sync: premium error + formatError non-Error	KEEP	84.52	+0.22
82	2026-05-07T01:36:39	sync-service: syncTeams modes + incrementalSync gap	KEEP	85.28	+0.76
83	2026-05-07T01:38:29	sync-service: empty enterprises + seats error	KEEP	85.35	+0.07
84	2026-05-07T01:43:57	sync-scheduler: incrementalSync failure + config-disabled mid-run	KEEP	85.49	+0.14
85	2026-05-07T01:45:34	api-base: fetchNDJSON streaming body path	KEEP	85.92	+0.43
86	2026-05-07T01:46:34	api-base: 429 retry test for PaginatedWithCutoff	KEEP	86.09	+0.17
87	2026-05-07T01:47:33	api-base: 403 error + multi-page PaginatedWithCutoff	KEEP	86.20	+0.11
88	2026-05-07T01:50:38	metrics-client: unrecognized record + org-28-day no-links	KEEP	86.34	+0.14
90	2026-05-07T01:54:24	dashboard-config: cache-hit + organizations-override	REVERT	86.42	+0.00
91	2026-05-07T01:56:03	teams-client: org/enterprise member error handling	KEEP	86.51	+0.09
92	2026-05-07T01:57:51	billing-repo: enterprise-slug + scopeOrgs KPI filters	KEEP	86.75	+0.24
93	2026-05-07T01:59:11	billing-repo: combined scope + empty allowedLogins	KEEP	86.81	+0.06
94	2026-05-07T02:03:22	app-auth: mock jose class, cover minting/caching/validation	KEEP	87.29	+0.48
2026-05-07T02:11:15	api-base: adaptiveRateDelay low-quota wait-until-reset path test	keep	87.70	74.25	91.27	89.74
2026-05-07T02:12:22	api-base: cursorPaginatedWithCutoff 204 empty return test	keep	87.73	74.30	91.27	89.74
2026-05-07T02:13:29	api-base: paginated .seats extraction + 204 branch tests	keep	87.80	74.52	91.27	89.77
2026-05-07T02:17:54	auto-sync-scheduler: GHAS + billing sync error path tests	keep	87.87	74.63	91.27	89.85
2026-05-07T02:20:23	metrics-repo: getAllOrgMetrics PR merge for first-org-no-PR path	keep	87.96	74.68	91.27	89.96
2026-05-07T02:21:47	summary-tables: enterprise-scoped refreshDailyAggregate test	keep	88.00	74.85	91.27	89.99
2026-05-07T02:24:02	summary-tables: enterprise-scoped refreshDailyAggregateRange test	keep	88.00	74.95	91.27	89.99
2026-05-07T02:26:25	billing-repo: org+scopeOrgs intersection filter with overlap test	keep	88.10	75.01	91.48	90.10
2026-05-07T02:27:27	billing-repo: premium org+scopeOrgs intersection filter test	keep	88.29	75.12	91.88	90.28
104	2026-05-07T02:36:38.5620718+05:30	ghas-repo getDependabotDaily fixed/dismissed/severity/ecosystem coverage	KEEP	88.43	75.23	92.29	90.28
105	2026-05-07T02:37:35.4461794+05:30	ghas-repo getSecretScanningDaily resolved/resolution_counts coverage	KEEP	88.52	75.28	92.49	90.28
106	2026-05-07T02:39:24.2791382+05:30	billing-repo premium empty org+scopeOrgs and empty allowedLogins branches	KEEP	88.66	75.39	92.49	90.43
107	2026-05-07T02:45:33.3176412+05:30	ghas-sync-service fullGhasSync without slug (getConfiguredEnterprises branch)	KEEP	88.69	75.44	92.69	90.46
108	2026-05-07T02:46:46.7450364+05:30	billing-sync-service detailed usage error + refreshAggregates error	KEEP	88.95	75.82	92.69	90.75
109	2026-05-07T02:49:07.5334679+05:30	billing-client CSV parser escaped double-quote branch	KEEP	89.02	75.88	92.69	90.83
110	2026-05-07T02:50:26.9211614+05:30	billing-client createReport with enterpriseSlug auth branch	KEEP	89.09	75.93	92.69	90.9
111	2026-05-07T02:53:21.0714612+05:30	csv fetchAllPages non-array dataExtractor error branches	KEEP	89.15	76.04	92.69	90.97
112	2026-05-07T02:54:44.0821015+05:30	seats-client null seats field and enterprise null page branches	KEEP	89.18	76.20	92.69	90.97
113	2026-05-07T02:55:53.9651371+05:30	memory-cache expired entry eviction during LRU scan	KEEP	89.25	76.26	92.69	91.04
